start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,jitter,start_size,probe_size,fix.started,fix.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,resp.started,resp.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.211945499991998,None,space,2.9323962000053143,8.211945499991998,None,,,,,,,,,,,,,,,,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-1.5,0,0,0,0,,,,,,,0.0853793047631903,1,-1.4146206952368097,11.664248199987924,12.91518029999861,12.164583699996001,12.91518029999861,j,0.9871696000045631,13.165360599989071,None,13.165360599989071,None,13.165360599989071,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,0.5,0,1,1,4,,,,,,,0.0011724850107188434,1,0.5011724850107189,14.666365699988091,15.917220399991493,15.166710299992701,15.917220399991493,j,1.0250316000019666,16.16747359999863,None,16.16747359999863,None,16.16747359999863,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,0.5,0,2,2,11,,,,,,,0.048942426320702254,10,0.5489424263207022,17.708433399995556,18.959282600000734,18.208809799994924,18.959282600000734,j,0.9269245999894338,19.209455399992294,None,19.209455399992294,None,19.209455399992294,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-0.5,0,3,3,2,,,,,,,-0.048026427973314294,1,-0.5480264279733142,20.640426899990416,21.891272699998808,21.140770799989696,21.891272699998808,j,0.859045299992431,22.14145229999849,None,22.14145229999849,None,22.14145229999849,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-1.0,0,4,4,8,,,,,,,-0.04499808445029552,10,-1.0449980844502955,23.51237779999792,24.763279499995406,24.012803599995095,24.763279499995406,j,1.1548626000003424,25.01347849999729,None,25.01347849999729,None,25.01347849999729,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,1.5,0,5,5,6,,,,,,,-0.039968049685643894,1,1.4600319503143562,26.674533499986865,27.925369399992633,27.174863899999764,27.925369399992633,j,0.7929233000031672,28.175539499992738,None,28.175539499992738,None,28.175539499992738,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-0.5,0,6,6,9,,,,,,,-0.07266828743560855,10,-0.5726682874356086,29.486431699988316,30.73729259999527,29.986769399998593,30.73729259999527,j,0.5889893999992637,30.98744799999986,None,30.98744799999986,None,30.98744799999986,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.5,0,7,7,13,,,,,,,0.05246714817611503,10,1.552467148176115,32.08819460000086,33.33912459999556,32.588630799989915,33.33912459999556,j,0.48314480000408366,33.58921159998863,None,33.58921159998863,None,33.58921159998863,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.0,0,8,8,12,,,,,,,-0.018997959124817124,10,0.9810020408751828,34.57988900000055,35.83073499999591,35.080223099997966,35.83073499999591,j,0.40763780000270344,36.08091299999796,None,36.08091299999796,None,36.08091299999796,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,0.0,0,9,9,10,,,,,,,0.04593207479219061,10,0.04593207479219061,37.001536199997645,38.25238099999842,37.50186349998694,38.25238099999842,j,0.3697812000027625,38.50263879999693,None,38.50263879999693,None,38.50263879999693,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-1.5,0,10,10,7,,,,,,,-0.023981137678319733,10,-1.5239811376783197,39.38323439999658,40.634079600000405,39.88356289999501,40.634079600000405,j,0.4521835000050487,40.88416479999432,None,40.88416479999432,None,40.88416479999432,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-1.0,0,11,11,1,,,,,,,-0.02400267853441171,1,-1.0240026785344116,41.844818499987014,43.09567399999651,42.34515689998807,43.09567399999651,j,0.40652429999317974,43.34583639999619,None,43.34583639999619,None,43.34583639999619,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,0.0,0,12,12,3,,,,,,,0.03217390806969164,1,0.03217390806969164,44.256452199988416,45.50730329999351,44.75679649999074,45.50730329999351,j,0.42707039999368135,45.75747029999911,None,45.75747029999911,None,45.75747029999911,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,1.0,0,13,13,5,,,,,,,-0.048085654960046756,1,0.9519143450399532,46.69811129999289,47.9489889999968,47.19853339999099,47.9489889999968,j,47.93754999998782,48.19912919998751,None,48.19912919998751,None,48.19912919998751,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,0.0,1,0,14,3,,,,,,,0.007766607653926588,1,0.007766607653926588,96.6520024999918,97.90285909999511,97.15233859998989,97.90285909999511,j,0.41547259999788366,98.15310899999167,None,98.15310899999167,None,98.15310899999167,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-1.5,1,1,15,0,,,,,,,0.022083094367551695,1,-1.4779169056324484,99.08374799999001,100.33450209999864,99.58402840000053,100.33450209999864,j,0.6397593000001507,100.58466949999274,None,100.58466949999274,None,100.58466949999274,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,1.5,1,2,16,6,,,,,,,0.09274843248139983,1,1.5927484324813999,101.7254513999942,102.97632139999769,102.22578759999305,102.97632139999769,j,0.3020544000028167,103.22646169998916,None,103.22646169998916,None,103.22646169998916,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,0.5,1,3,17,11,,,,,,,0.023936062974439176,10,0.5239360629744392,104.04701809999824,105.29795159999048,104.54735869998694,105.29795159999048,j,0.44437689999176655,105.5481077000004,None,105.5481077000004,None,105.5481077000004,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-0.5,1,4,18,9,,,,,,,-0.07295219222258907,10,-0.5729521922225891,106.50876729999436,107.75953789999767,107.00906620000023,107.75953789999767,f,49.61473529999785,108.00970799999777,None,108.00970799999777,None,108.00970799999777,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.5,1,5,19,13,,,,,,,-0.025782100294629115,10,1.474217899705371,158.13380419999885,159.3845610999997,158.62408109998796,159.37455249999766,j,0.6875734999921406,159.6247277999937,None,159.6247277999937,None,159.6247277999937,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,0.5,1,6,20,4,,,,,,,0.012536574823504745,1,0.5125365748235048,160.81552089999605,162.06638530000055,161.31586949998746,162.06638530000055,j,0.31583300000056624,162.31655099999625,None,162.31655099999625,None,162.31655099999625,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,1.0,1,7,21,5,,,,,,,0.07790750346841566,1,1.0779075034684156,163.13710599999467,164.38804009999149,163.63751509999565,164.38804009999149,j,0.7622127999929944,164.63821489999827,None,164.63821489999827,None,164.63821489999827,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,0.0,1,8,22,10,,,,,,,0.053377920918427496,10,0.053377920918427496,165.91898339999898,167.1698391999962,166.41933459999564,167.1698391999962,j,3.372385300011956,167.4200325999991,None,167.4200325999991,None,167.4200325999991,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-1.0,1,9,23,1,,,,,,,0.06760929155326467,1,-0.9323907084467353,171.3026877999946,172.55356960000063,171.80307319998974,172.55356960000063,j,2.4046798999916064,172.80367609999666,None,172.80367609999666,None,172.80367609999666,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.0,1,10,24,12,,,,,,,0.09081125724994199,10,1.090811257249942,175.71564619999845,176.96651759999804,176.21597779999138,176.96651759999804,j,1.8316717999987304,177.21665849999408,None,177.21665849999408,None,177.21665849999408,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-1.0,1,11,25,8,,,,,,,0.02121468475499297,10,-0.978785315245007,179.5582444999891,180.80908719998843,180.05861889998778,180.80908719998843,j,27.92525340001157,181.0592573999893,None,181.0592573999893,None,181.0592573999893,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-0.5,1,12,26,2,,,,,,,-0.0015183399569305561,1,-0.5015183399569305,209.49855829999433,210.74940329999663,209.99893069999234,210.74940329999663,j,0.7207621999987168,210.99957549999817,None,210.99957549999817,None,210.99957549999817,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-1.5,1,13,27,7,,,,,,,-0.059248572631226626,10,-1.5592485726312266,212.22040449999622,213.4712479999871,212.72074499999871,213.4712479999871,j,4.750865599999088,213.72141980000015,None,213.72141980000015,None,213.72141980000015,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
